2019-11-04, 18:53:01	57.18 , 0.25 , 29.91
2019-11-04, 18:54:01	56.70 , 0.25 , 29.91 
2019-11-04, 18:55:02	56.70 , 0.25 , 30.48 
2019-11-04, 18:56:02	56.21 , 0.25 , 30.48 
2019-11-04, 18:57:02	56.70 , 0.26 , 31.04 
2019-11-04, 18:58:02	56.21 , 0.25 , 30.48 
2019-11-04, 18:59:02	56.21 , 0.25 , 30.48 
2019-11-04, 19:00:02	56.70 , 0.25 , 30.48 
2019-11-04, 19:01:02	56.70 , 0.26 , 31.04 
2019-11-04, 19:02:02	56.21 , 0.26 , 31.04 
2019-11-04, 19:03:02	56.21 , 0.25 , 29.91 
2019-11-04, 19:04:02	56.21 , 0.25 , 30.48 
2019-11-04, 19:05:02	55.72 , 0.25 , 30.48 
2019-11-04, 19:06:03	56.70 , 0.25 , 30.48 
2019-11-04, 19:07:03	56.70 , 0.25 , 30.48 
2019-11-04, 19:08:03	56.70 , 0.25 , 30.48 
2019-11-04, 19:09:03	56.21 , 0.25 , 29.91 
2019-11-04, 19:10:03	55.72 , 0.25 , 30.48 
2019-11-04, 19:11:03	56.21 , 0.25 , 30.48 
2019-11-04, 19:12:03	55.72 , 0.25 , 29.91 
2019-11-04, 19:13:03	56.21 , 0.25 , 29.91 
2019-11-04, 19:14:03	56.21 , 0.25 , 29.91 
2019-11-04, 19:15:03	56.21 , 0.25 , 30.48 
2019-11-04, 19:16:03	56.21 , 0.25 , 29.91 
2019-11-04, 19:17:04	57.18 , 0.25 , 30.48 
2019-11-04, 19:18:04	56.70 , 0.25 , 29.91 
2019-11-04, 19:19:04	56.21 , 0.25 , 30.48 
2019-11-04, 19:20:04	56.21 , 0.25 , 30.48 
2019-11-04, 19:21:04	56.70 , 0.25 , 29.91 
2019-11-04, 19:22:04	56.21 , 0.25 , 30.48 
2019-11-04, 19:23:04	56.21 , 0.25 , 29.91 
2019-11-04, 19:24:04	56.70 , 0.25 , 30.48 
2019-11-04, 19:25:04	56.21 , 0.25 , 30.48 
2019-11-04, 19:26:04	57.18 , 0.24 , 29.33 
2019-11-04, 19:27:05	56.21 , 0.25 , 30.48 
2019-11-04, 19:28:05	56.21 , 0.25 , 30.48 
2019-11-04, 19:29:05	56.21 , 0.25 , 29.91 
2019-11-04, 19:30:05	55.72 , 0.25 , 30.48 
2019-11-04, 19:31:05	56.21 , 0.25 , 30.48 
2019-11-04, 19:32:05	56.21 , 0.25 , 30.48 
2019-11-04, 19:33:05	55.72 , 0.25 , 30.48 
2019-11-04, 19:34:05	56.70 , 0.25 , 29.91 
2019-11-04, 19:35:05	56.21 , 0.25 , 29.91 
2019-11-04, 19:36:05	55.72 , 0.25 , 29.91 
2019-11-04, 19:37:05	56.70 , 0.25 , 30.48 
2019-11-04, 19:38:05	56.21 , 0.25 , 30.48 
2019-11-04, 19:39:06	55.72 , 0.25 , 29.91 
2019-11-04, 19:40:06	55.23 , 0.24 , 29.33 
2019-11-04, 19:41:06	56.21 , 0.25 , 29.91 
2019-11-04, 19:42:06	56.70 , 0.25 , 30.48 
2019-11-04, 19:43:06	56.70 , 0.25 , 30.48 
2019-11-04, 19:44:06	56.21 , 0.25 , 29.91 
2019-11-04, 19:45:06	56.70 , 0.26 , 31.04 
2019-11-04, 19:46:06	56.70 , 0.25 , 29.91 
2019-11-04, 19:47:06	56.21 , 0.25 , 29.91 
2019-11-04, 19:48:06	56.70 , 0.25 , 30.48 
