Day,Hour,Temperature-motor,Current-motor,Watts,RPM
04/11/2019, 17:22:53,	32.75 ,0,0,0
04/11/2019, 17:23:53,	31.28 ,0.05,5.87,0
04/11/2019, 17:24:53,	31.28 ,0.25,30.48,1770
04/11/2019, 17:25:54,	32.26 ,0.26,31.04,1770
04/11/2019, 17:26:54,	33.72 ,0.26,31.04,1740
04/11/2019, 17:27:54,	36.17 ,0.26,31.04,1740
04/11/2019, 17:28:54,	38.61 ,0.25,30.48,1770
04/11/2019, 17:29:54,	39.10 ,0.25,29.91,1740
04/11/2019, 17:30:54,	40.57 ,0.25,30.48,1770
04/11/2019, 17:31:54,	42.03 ,0.25,29.91,1770
04/11/2019, 17:32:54,	43.01 ,0.25,29.91,1740
04/11/2019, 17:33:54,	43.99 ,0.25,29.91,1740
04/11/2019, 17:34:54,	44.48 ,0.26,31.04,1770
04/11/2019, 17:35:54,	45.94 ,0.25,29.91,1740
04/11/2019, 17:36:54,	46.43 ,0.25,30.48,1770
04/11/2019, 17:37:55,	47.41 ,0.25,29.91,1770
04/11/2019, 17:38:55,	48.39 ,0.25,29.91,1770
04/11/2019, 17:39:55,	49.36 ,0.25,30.48,1770
04/11/2019, 17:40:55,	49.36 ,0.25,30.48,1770
04/11/2019, 17:41:55,	49.85 ,0.25,30.48,1770
04/11/2019, 17:42:55,	50.34 ,0.25,29.91,1770
04/11/2019, 17:43:55,	50.83 ,0.25,30.48,1770
04/11/2019, 17:44:55,	51.32 ,0.25,30.48,1770
04/11/2019, 17:45:55,	51.32 ,0.25,30.48,1770
04/11/2019, 17:46:55,	51.32 ,0.25,29.91,1770
04/11/2019, 17:47:56,	52.30 ,0.25,29.91,1770
04/11/2019, 17:48:56,	52.79 ,0.25,29.91,1740
04/11/2019, 17:49:56,	53.27 ,0.25,29.91,1770
04/11/2019, 17:50:56,	53.27 ,0.26,31.04,1770
04/11/2019, 17:51:56,	53.27 ,0.24,29.33,1740
04/11/2019, 17:52:56,	53.27 ,0.25,30.48,1770
04/11/2019, 17:53:56,	53.27 ,0.25,30.48,1770
04/11/2019, 17:54:56,	54.25 ,0.25,29.91,1770
04/11/2019, 17:55:56,	54.25 ,0.25,29.91,1770
04/11/2019, 17:56:56,	54.25 ,0.25,29.91,1770
04/11/2019, 17:57:56,	53.76 ,0.25,30.48,1770
04/11/2019, 17:58:56,	54.25 ,0.25,29.91,1770
04/11/2019, 17:59:57,	54.74 ,0.25,29.91,1770
04/11/2019, 18:00:57,	54.74 ,0.25,29.91,1770
04/11/2019, 18:01:57,	54.74 ,0.25,29.91,1770
04/11/2019, 18:02:57,	55.23 ,0.25,30.48,1770
04/11/2019, 18:03:57,	54.74 ,0.25,29.91,1770
04/11/2019, 18:04:57,	55.23 ,0.24,29.33,1770
04/11/2019, 18:05:57,	55.23 ,0.25,29.91,1770
04/11/2019, 18:06:57,	54.74 ,0.25,29.91,1770
04/11/2019, 18:07:57,	55.23 ,0.25,29.91,1770
04/11/2019, 18:08:57,	56.21 ,0.25,29.91,1770
04/11/2019, 18:09:57,	55.72 ,0.26,31.04,1770
04/11/2019, 18:10:58,	55.72 ,0.25,30.48,1770
04/11/2019, 18:11:58,	56.21 ,0.25,30.48,1770
04/11/2019, 18:12:58,	56.21 ,0.25,30.48,1770
04/11/2019, 18:13:58,	56.21 ,0.25,29.91,1770
04/11/2019, 18:14:58,	56.70 ,0.25,30.48,1770
04/11/2019, 18:15:58,	56.21 ,0.25,30.48,1770
04/11/2019, 18:16:58,	56.70 ,0.25,29.91,1770
04/11/2019, 18:17:58,	56.21 ,0.25,30.48,1770
04/11/2019, 18:18:58,	56.21 ,0.25,29.91,1770
04/11/2019, 18:19:58,	55.72 ,0.25,29.91,1770
04/11/2019, 18:20:58,	56.21 ,0.25,30.48,1770
04/11/2019, 18:21:59,	56.21 ,0.25,30.48,1770
04/11/2019, 18:22:59,	56.70 ,0.26,31.04,1770
04/11/2019, 18:23:59,	56.21 ,0.25,30.48,1770
04/11/2019, 18:24:59,	57.18 ,0.25,30.48,1770
04/11/2019, 18:25:59,	56.70 ,0.25,29.91,1770
04/11/2019, 18:26:59,	56.21 ,0.26,31.04,1770
04/11/2019, 18:27:59,	56.70 ,0.26,31.04,1770
04/11/2019, 18:28:59,	56.21 ,0.25,29.91,1770
04/11/2019, 18:29:59,	56.21 ,0.26,31.04,1770
04/11/2019, 18:30:59,	56.21 ,0.25,30.48,1770
04/11/2019, 18:31:59,	56.21 ,0.25,30.48,1770
04/11/2019, 18:33:00,	57.18 ,0.25,30.48,1770
04/11/2019, 18:34:00,	56.70 ,0.26,31.04,1770
04/11/2019, 18:35:00,	57.18 ,0.26,31.04,1770
04/11/2019, 18:36:00,	57.18 ,0.25,29.91,1770
04/11/2019, 18:37:00,	57.18 ,0.25,30.48,1770
04/11/2019, 18:38:00,	57.67 ,0.26,31.04,1770
04/11/2019, 18:39:00,	56.70 ,0.25,30.48,1770
04/11/2019, 18:40:00,	56.21 ,0.26,31.04,1770
04/11/2019, 18:41:00,	56.70 ,0.25,30.48,1770
04/11/2019, 18:42:00,	56.21 ,0.26,31.04,1770
04/11/2019, 18:43:00,	56.70 ,0.26,31.04,1770
